#CRS: PROJCRS["WGS 84 / Pseudo-Mercator",BASEGEOGCRS["WGS 84",DATUM["World Geodetic System 1984",ELLIPSOID["WGS 84",6378137,298.257223563,LENGTHUNIT["metre",1]]],PRIMEM["Greenwich",0,ANGLEUNIT["degree",0.0174532925199433]],ID["EPSG",4326]],CONVERSION["Popular Visualisation Pseudo-Mercator",METHOD["Popular Visualisation Pseudo Mercator",ID["EPSG",1024]],PARAMETER["Latitude of natural origin",0,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8801]],PARAMETER["Longitude of natural origin",0,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8802]],PARAMETER["False easting",0,LENGTHUNIT["metre",1],ID["EPSG",8806]],PARAMETER["False northing",0,LENGTHUNIT["metre",1],ID["EPSG",8807]]],CS[Cartesian,2],AXIS["easting (X)",east,ORDER[1],LENGTHUNIT["metre",1]],AXIS["northing (Y)",north,ORDER[2],LENGTHUNIT["metre",1]],USAGE[SCOPE["unknown"],AREA["World - 85°S to 85°N"],BBOX[-85.06,-180,85.06,180]],ID["EPSG",3857]]
mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
-8675442.63641512207686901,4060611.58522790484130383,3722.96053891222572929,4550.76792195927828288,1,0.09156045921236,-0.15809954291853501,0.18269861291818265
-8676612.57694175466895103,4060504.79114690329879522,4690.84643562317614851,4647.56731953176677052,1,0.05034531804903963,-0.18170643086614291,0.18855205665166141
-8676917.25031885504722595,4060641.00659255217760801,4946.72709837937145494,4537.77772332441782055,1,-0.14092664959207468,-0.02139029859881703,0.14254075010113409
-8677334.59125871397554874,4060445.3780269930139184,5288.34762740779478918,4702.09786583835830243,1,-0.01316507366027508,-0.05335712491614686,0.05495727380245283
-8677726.78915506787598133,4060385.36916577210649848,5612.31158017574489349,4754.75136908021249837,1,-0.06560769843417802,0.19359818011616881,0.20441287982444398
-8677938.31182277761399746,4061244.81916299322620034,5806.78834250627642177,4047.76766135964453497,1,-0.0283957952815399,-0.16402725686384656,0.16646700028518993
-8676858.43294025957584381,4061454.1152763064019382,4915.79804198580950469,3867.59897548867456862,1,0.08233633299551002,0.27702550071990117,0.28900242175500795
-8674087.97040488012135029,4058859.96575786266475916,2560.53190921778877964,5984.05551709124392801,1,0.18285641462898639,-0.06110428045303706,0.19279575062913393
-8673504.34625806473195553,4059175.27947476599365473,2083.97835652299499998,5719.976859606465041,1,-0.24869648227877406,0.09129571799348923,0.26492423147342203
-8676305.6604488268494606,4056045.96517980517819524,4337.24793792289710836,8319.70654242463388073,1,0.03224280822996661,0.02242417403522268,0.0392739387344376
-8676848.50902792252600193,4063526.70035976590588689,4953.69727781805522682,2159.35625352710030711,1,0.01508049522453803,0.00123167798028589,0.01513070939726341
-8675315.37957552261650562,4060787.21090571070089936,3621.38026759107242469,4405.29820493455372343,1,0.04236987090780531,0.05410968378600955,0.06872455049082556
